5
Time taken in solving the query is:  0.31074976921081543  seconds. 
The query was:  sat
e3417 --->  0
e15 --->  0
e2615 --->  0
e4337 --->  0
e831 --->  0
e845 --->  0
e3720 --->  0
e929 --->  0
e1631 --->  0
e3617 --->  0
e825 --->  0
e3628 --->  0
e4844 --->  0
e309 --->  0
e737 --->  0
e286 --->  0
e611 --->  0
e3523 --->  0
e4033 --->  0
e1543 --->  0
e4028 --->  0
e190 --->  0
e030 --->  0
e4029 --->  0
e4645 --->  0
e481 --->  0
e1932 --->  0
e289 --->  0
e3313 --->  0
e42 --->  0
e3428 --->  0
e4314 --->  0
e4723 --->  0
e4726 --->  0
e3142 --->  0
e521 --->  0
e3943 --->  0
e381 --->  0
e3644 --->  0
e171 --->  0
e2616 --->  0
e81 --->  0
e4037 --->  0
e1319 --->  0
e3243 --->  0
e4818 --->  0
e2835 --->  0
e710 --->  0
e528 --->  0
e818 --->  0
e3525 --->  0
e82 --->  0
e2637 --->  0
e2517 --->  0
e298 --->  0
e3819 --->  0
e4047 --->  0
e4419 --->  0
e631 --->  0
e4941 --->  0
e2224 --->  0
e034 --->  0
e535 --->  0
e146 --->  0
e3019 --->  0
e3247 --->  0
e1528 --->  0
e3524 --->  0
e2215 --->  0
e3938 --->  0
e4815 --->  0
e646 --->  0
e647 --->  0
e3437 --->  0
e229 --->  0
e642 --->  0
e238 --->  0
e1615 --->  0
e1916 --->  0
e622 --->  0
e3826 --->  0
e4522 --->  0
e4615 --->  0
e1512 --->  0
e1446 --->  0
e4120 --->  0
e480 --->  0
e1727 --->  0
e4119 --->  0
e1811 --->  0
e3715 --->  0
e4627 --->  0
e1015 --->  0
e524 --->  0
e2535 --->  0
e2117 --->  0
e4537 --->  0
e3510 --->  0
e197 --->  0
e012 --->  0
e1812 --->  0
e2935 --->  0
e4431 --->  0
e427 --->  0
e423 --->  0
e3520 --->  0
e2717 --->  0
e3344 --->  0
e2547 --->  0
e633 --->  0
e1542 --->  0
e627 --->  0
e2324 --->  0
e2820 --->  0
e4127 --->  0
e4243 --->  0
e918 --->  0
e1920 --->  0
e4922 --->  0
e1244 --->  0
e3049 --->  0
e4640 --->  0
e1836 --->  0
e4121 --->  0
e2727 --->  0
e2924 --->  0
e4036 --->  0
e4630 --->  0
e4545 --->  0
e739 --->  0
e2049 --->  0
e3217 --->  0
e204 --->  0
e935 --->  0
e2030 --->  0
e3649 --->  0
e25 --->  0
e2845 --->  0
e1743 --->  0
e4032 --->  0
e4320 --->  0
e4939 --->  0
e044 --->  0
e3048 --->  0
e187 --->  0
e1014 --->  0
e207 --->  0
e83 --->  0
e2111 --->  0
e4237 --->  0
e4833 --->  0
e2332 --->  0
e2234 --->  0
e640 --->  0
e3317 --->  0
e4319 --->  0
e4823 --->  0
e2338 --->  0
e189 --->  0
